ip,app,device,os,channel,click_time,attributed_time,app*device,app*os,,is_attributed
143638,36,1,13,110,2017-11-06 16:02:56,2017-11-07 04:29:21,36,468,,1
106434,35,1,13,21,2017-11-06 16:05:39,2017-11-06 17:57:14,35,455,,1
27020,8,1,13,145,2017-11-06 16:13:06,,8,104,,0
97716,9,1,13,442,2017-11-06 16:02:12,2017-11-06 16:02:41,9,117,,1
73516,11,1,13,469,2017-11-06 16:05:16,2017-11-06 16:15:00,11,143,,1
145920,19,0,0,213,2017-11-06 16:01:27,2017-11-06 16:02:31,0,0,,1
49289,9,1,10,134,2017-11-06 16:17:30,,9,90,,0
84301,15,1,25,245,2017-11-06 16:01:57,,15,375,,0
14932,15,1,19,245,2017-11-06 16:05:27,,15,285,,0
85329,2,1,3,205,2017-11-06 16:06:29,,2,6,,0
159702,3,1,19,135,2017-11-06 16:11:19,,3,57,,0
53823,13,1,17,469,2017-11-06 16:20:43,,13,221,,0
110079,21,1,16,128,2017-11-06 16:04:50,,21,336,,0
73516,11,1,19,219,2017-11-06 16:09:00,2017-11-06 16:09:43,11,209,,1
135439,35,1,19,274,2017-11-06 16:17:47,2017-11-06 23:53:12,35,665,,1
115271,1,1,10,134,2017-11-06 16:10:24,,1,10,,0
96388,3,1,41,379,2017-11-06 16:01:03,,3,123,,0
88332,35,1,17,274,2017-11-06 16:08:49,2017-11-06 20:20:51,35,595,,1
82041,19,0,0,347,2017-11-06 16:19:49,2017-11-07 14:53:09,0,0,,1
33288,35,1,19,21,2017-11-06 16:12:23,2017-11-07 01:36:08,35,665,,1
56632,2,1,13,435,2017-11-06 16:02:15,,2,26,,0
28791,15,1,6,140,2017-11-06 16:01:19,,15,90,,0
121312,3,1,9,130,2017-11-06 16:09:38,,3,27,,0
166546,39,1,22,101,2017-11-06 16:01:24,2017-11-06 16:01:27,39,858,,1
38168,18,1,19,439,2017-11-06 16:06:23,,18,342,,0
78329,3,1,13,280,2017-11-06 16:18:09,,3,39,,0
166650,72,1,41,101,2017-11-06 16:03:09,2017-11-06 16:04:06,72,2952,,1
58793,18,1,10,107,2017-11-06 16:18:04,,18,180,,0
47231,18,1,19,107,2017-11-06 16:05:09,,18,342,,0
77065,19,0,29,213,2017-11-06 16:21:53,2017-11-07 03:19:46,0,551,,1
197311,19,0,24,347,2017-11-06 16:10:26,2017-11-07 07:38:04,0,456,,1
117354,13,1,10,469,2017-11-06 16:04:26,,13,130,,0
60598,12,1,13,326,2017-11-06 16:22:51,,12,156,,0
131572,19,211,29,213,2017-11-06 16:06:46,2017-11-06 16:08:29,4009,551,,1
174556,23,1,22,153,2017-11-06 16:15:22,,23,506,,0
186310,35,1,13,274,2017-11-06 16:12:11,2017-11-06 16:18:13,35,455,,1
92735,9,1,22,134,2017-11-06 16:02:47,2017-11-06 16:04:28,9,198,,1
14348,11,1,37,319,2017-11-06 16:17:01,,11,407,,0
91467,1,1,26,134,2017-11-06 16:07:54,,1,26,,0
146001,14,1,9,349,2017-11-06 16:07:05,,14,126,,0
159521,19,203,24,213,2017-11-06 16:08:57,2017-11-06 16:10:52,3857,456,,1
84644,12,1,19,178,2017-11-06 16:06:33,,12,228,,0
154527,1,1,13,178,2017-11-06 16:01:45,,1,13,,0
77772,19,0,0,213,2017-11-06 16:09:18,2017-11-06 16:10:46,0,0,,1
95473,12,2,20,245,2017-11-06 16:05:38,,24,240,,0
93780,14,1,13,442,2017-11-06 16:15:25,,14,182,,0
195724,8,1,22,259,2017-11-06 16:04:22,2017-11-06 22:28:48,8,176,,1
92735,3,2,27,153,2017-11-06 16:05:35,,6,81,,0
37434,13,1,13,477,2017-11-06 16:10:49,,13,169,,0
77112,9,1,20,244,2017-11-06 16:08:39,2017-11-07 09:20:29,9,180,,1
17663,18,1,19,134,2017-11-06 16:21:24,,18,342,,0
142021,19,0,21,213,2017-11-06 16:17:38,2017-11-06 16:19:18,0,399,,1
55256,21,1,25,128,2017-11-06 16:09:06,,21,525,,0
212262,2,1,19,122,2017-11-06 16:18:21,,2,38,,0
195758,29,1,19,213,2017-11-06 16:08:42,2017-11-06 16:15:51,29,551,,1
166326,39,1,19,101,2017-11-06 16:10:23,2017-11-06 16:12:48,39,741,,1
46438,14,1,9,379,2017-11-06 16:11:01,,14,126,,0
195357,19,0,29,213,2017-11-06 16:12:14,2017-11-06 16:12:56,0,551,,1
44494,15,1,13,140,2017-11-06 16:00:30,,15,195,,0
184207,19,0,0,213,2017-11-06 16:01:17,2017-11-06 16:05:13,0,0,,1
77048,35,1,49,21,2017-11-06 16:11:22,2017-11-06 16:24:43,35,1715,,1
203230,9,1,19,215,2017-11-06 16:20:08,,9,171,,0
166182,84,0,38,101,2017-11-06 16:14:21,2017-11-06 16:57:26,0,3192,,1
76324,29,1,19,210,2017-11-06 16:01:55,2017-11-07 06:38:11,29,551,,1
116692,23,1,19,153,2017-11-06 16:17:40,,23,437,,0
34619,1,1,19,137,2017-11-06 16:06:11,,1,19,,0
2357,12,1,25,265,2017-11-06 16:17:41,,12,300,,0
166410,19,0,24,347,2017-11-06 16:21:10,2017-11-06 18:07:03,0,456,,1
100393,3,1,14,452,2017-11-06 16:22:10,,3,42,,0
145922,19,46,0,282,2017-11-06 16:00:48,2017-11-06 16:03:08,874,0,,1
39784,21,1,15,128,2017-11-06 16:02:24,,21,315,,0
44645,15,1,18,3,2017-11-06 16:17:35,,15,270,,0
188735,3,1,22,173,2017-11-06 16:11:49,2017-11-06 16:39:09,3,66,,1
102206,202,1,19,421,2017-11-06 16:19:19,2017-11-07 03:15:43,202,3838,,1
142279,72,1,20,101,2017-11-06 16:22:57,2017-11-06 16:26:03,72,1440,,1
94203,15,1,1,278,2017-11-06 16:20:40,,15,15,,0
190846,2,1,32,364,2017-11-06 16:06:53,,2,64,,0
150910,3,1,19,280,2017-11-06 16:05:25,,3,57,,0
168400,175,1,23,101,2017-11-06 16:05:56,2017-11-06 16:07:09,175,4025,,1
157780,64,1,19,459,2017-11-06 16:12:19,,64,1216,,0
113839,481,1,14,213,2017-11-06 16:08:06,2017-11-06 16:44:32,481,6734,,1
171575,3,1,40,424,2017-11-06 16:14:01,2017-11-06 16:14:46,3,120,,1
28627,35,1,22,274,2017-11-06 16:13:41,2017-11-06 16:53:45,35,770,,1
14456,35,1,8,21,2017-11-06 16:06:24,2017-11-07 13:33:00,35,280,,1
154631,9,1,19,134,2017-11-06 16:16:36,,9,171,,0
51992,12,1,19,259,2017-11-06 16:11:11,,12,228,,0
24254,35,1,19,274,2017-11-06 16:09:10,2017-11-06 23:22:53,35,665,,1
37565,15,1,22,245,2017-11-06 16:18:23,,15,330,,0
82142,8,1,18,145,2017-11-06 16:18:42,2017-11-07 13:10:10,8,144,,1
112026,8,1,19,140,2017-11-06 16:00:29,2017-11-06 16:42:31,8,152,,1
195586,35,1,13,274,2017-11-06 16:19:32,2017-11-06 23:16:25,35,455,,1
29769,3,1,13,280,2017-11-06 16:17:36,,3,39,,0
24793,8,1,22,145,2017-11-06 16:22:29,,8,176,,0
143897,29,1,13,213,2017-11-06 16:07:41,2017-11-06 16:24:10,29,377,,1
131991,19,0,0,347,2017-11-06 16:04:37,2017-11-06 22:48:20,0,0,,1
73487,12,1,16,140,2017-11-06 16:02:38,,12,192,,0
118367,8,2,52,145,2017-11-06 16:17:41,,16,416,,0
123856,19,40,24,213,2017-11-06 16:06:54,2017-11-07 08:19:54,760,456,,1
210513,19,0,24,343,2017-11-06 16:12:46,2017-11-07 01:17:24,0,456,,1
5348,107,1,19,171,2017-11-06 16:20:23,2017-11-07 02:19:37,107,2033,,1
115781,18,1,30,107,2017-11-06 16:12:54,,18,540,,0
148213,19,0,0,347,2017-11-06 16:15:27,2017-11-06 23:38:54,0,0,,1
185076,5,1,49,113,2017-11-06 16:02:32,2017-11-06 16:03:02,5,245,,1
103055,15,1,3,245,2017-11-06 16:07:46,,15,45,,0
204957,9,1,14,244,2017-11-06 16:09:42,,9,126,,0
142860,8,1,19,145,2017-11-06 16:12:14,,8,152,,0
25097,3,1,25,280,2017-11-06 16:19:07,,3,75,,0
59680,18,1,13,121,2017-11-06 16:10:27,,18,234,,0
171434,29,1,17,213,2017-11-06 16:06:49,2017-11-06 16:12:27,29,493,,1
105282,15,1,13,245,2017-11-06 16:04:01,,15,195,,0
185151,35,1,18,21,2017-11-06 16:21:05,2017-11-07 05:49:02,35,630,,1
30954,19,0,21,213,2017-11-06 16:20:14,2017-11-06 16:21:33,0,399,,1
132682,8,1,13,145,2017-11-06 16:10:24,2017-11-06 19:09:17,8,104,,1
50223,18,1,19,107,2017-11-06 16:08:17,2017-11-06 16:14:14,18,342,,1
114759,12,1,20,259,2017-11-06 16:12:58,,12,240,,0
61056,15,1,18,245,2017-11-06 16:05:28,,15,270,,0
154095,2,1,13,122,2017-11-06 16:20:19,,2,26,,0
17459,9,1,13,134,2017-11-06 16:07:07,,9,117,,0
166119,72,1,13,101,2017-11-06 16:08:21,2017-11-06 16:09:17,72,936,,1
16067,12,1,14,328,2017-11-06 16:03:40,,12,168,,0
206999,35,1,19,21,2017-11-06 16:08:46,2017-11-07 05:47:48,35,665,,1
35720,8,1,9,145,2017-11-06 16:08:36,,8,72,,0
86700,15,1,22,245,2017-11-06 16:13:30,,15,330,,0
208508,19,0,24,213,2017-11-06 16:06:47,2017-11-06 16:10:22,0,456,,1
159196,3,1,6,280,2017-11-06 16:05:14,,3,18,,0
167725,19,56,24,213,2017-11-06 16:02:57,2017-11-06 16:06:31,1064,456,,1
191299,19,0,24,213,2017-11-06 16:10:49,2017-11-06 16:12:19,0,456,,1
62077,15,1,22,245,2017-11-06 16:05:23,,15,330,,0
48240,18,1,19,107,2017-11-06 16:20:38,,18,342,,0
52076,18,1,19,107,2017-11-06 16:18:41,,18,342,,0
120277,12,1,10,409,2017-11-06 16:06:32,,12,120,,0
106598,15,1,17,245,2017-11-06 16:05:55,,15,255,,0
95820,64,1,19,459,2017-11-06 16:14:36,2017-11-06 16:20:51,64,1216,,1
100275,12,1,19,178,2017-11-06 16:08:13,2017-11-06 16:08:21,12,228,,1
172483,15,1,19,3,2017-11-06 16:10:43,,15,285,,0
161746,19,136,29,213,2017-11-06 16:17:47,2017-11-06 16:18:09,2584,551,,1
125108,35,1,19,21,2017-11-06 16:22:47,2017-11-06 16:53:38,35,665,,1
111247,12,1,41,178,2017-11-06 16:09:15,,12,492,,0
29467,78,0,67,224,2017-11-06 16:13:42,2017-11-07 05:10:53,0,5226,,1
110574,12,1,9,19,2017-11-06 16:15:44,,12,108,,0
5597,12,1,35,424,2017-11-06 16:20:16,,12,420,,0
119758,21,1,13,128,2017-11-06 16:22:20,,21,273,,0
76460,27,1,13,122,2017-11-06 16:19:18,,27,351,,0
40792,8,1,19,145,2017-11-06 16:05:10,2017-11-07 05:26:33,8,152,,1
209663,29,1,19,343,2017-11-06 16:17:21,2017-11-06 19:27:01,29,551,,1
185881,9,1,16,134,2017-11-06 16:05:25,,9,144,,0
24008,12,1,19,219,2017-11-06 16:13:09,,12,228,,0
1462,9,1,3,134,2017-11-06 16:22:49,2017-11-07 03:25:41,9,27,,1
32753,21,1,27,128,2017-11-06 16:06:21,,21,567,,0
7775,35,1,18,21,2017-11-06 16:06:48,2017-11-07 00:32:50,35,630,,1
49996,50,156,24,213,2017-11-06 16:10:48,2017-11-07 13:12:03,7800,1200,,1
111910,60,1,22,21,2017-11-06 16:07:17,2017-11-07 03:45:08,60,1320,,1
84092,15,1,17,245,2017-11-06 16:01:57,,15,255,,0
62094,8,1,19,145,2017-11-06 16:00:45,,8,152,,0
132305,79,1,25,213,2017-11-06 16:22:48,2017-11-07 02:36:29,79,1975,,1
92872,9,1,13,134,2017-11-06 16:07:06,,9,117,,0
4019,2,1,8,435,2017-11-06 16:15:05,,2,16,,0
106678,13,1,15,477,2017-11-06 16:02:26,,13,195,,0
104585,15,1,13,245,2017-11-06 16:12:57,,15,195,,0
118412,18,1,25,439,2017-11-06 16:02:57,2017-11-06 16:04:59,18,450,,1
119289,29,1,22,343,2017-11-06 16:18:52,2017-11-06 16:30:24,29,638,,1
132778,8,1,19,145,2017-11-06 16:04:15,,8,152,,0
123759,1,1,13,137,2017-11-06 16:20:37,,1,13,,0
89475,12,1,13,178,2017-11-06 16:03:49,,12,156,,0
196969,19,0,24,347,2017-11-06 16:16:31,2017-11-07 12:03:57,0,456,,1
77940,3,1,13,280,2017-11-06 16:05:49,,3,39,,0
74074,8,1,18,145,2017-11-06 16:05:15,,8,144,,0
150100,19,0,607,347,2017-11-06 16:19:12,2017-11-07 08:52:05,0,11533,,1
175738,21,1,15,128,2017-11-06 16:07:56,,21,315,,0
13177,8,1,47,145,2017-11-06 16:07:59,,8,376,,0
115806,13,1,13,477,2017-11-06 16:06:09,,13,169,,0
72830,35,1,19,21,2017-11-06 16:04:35,2017-11-07 12:01:26,35,665,,1
77730,35,1,17,21,2017-11-06 16:06:59,2017-11-07 02:53:26,35,595,,1
108942,15,1,8,245,2017-11-06 16:09:49,,15,120,,0
151412,3,1,19,110,2017-11-06 16:04:58,,3,57,,0
6375,3,1,19,153,2017-11-06 16:21:45,,3,57,,0
122076,3,1,22,205,2017-11-06 16:15:36,,3,66,,0
34561,1,1,15,134,2017-11-06 16:17:55,,1,15,,0
114655,3,1,8,211,2017-11-06 16:06:20,,3,24,,0
127415,3,1,18,213,2017-11-06 16:20:59,2017-11-06 16:22:51,3,54,,1
201389,72,1,19,101,2017-11-06 16:12:04,2017-11-06 16:48:10,72,1368,,1
34859,19,0,29,333,2017-11-06 16:05:10,2017-11-06 16:06:44,0,551,,1
109776,15,1,17,245,2017-11-06 16:19:41,,15,255,,0
43855,19,0,24,347,2017-11-06 16:21:01,2017-11-06 16:27:53,0,456,,1
111153,9,1,19,215,2017-11-06 16:04:43,2017-11-06 16:04:45,9,171,,1
158811,19,0,24,213,2017-11-06 16:07:07,2017-11-06 17:19:55,0,456,,1
105154,17,1,17,280,2017-11-06 16:10:09,,17,289,,0
152360,20,1,13,259,2017-11-06 16:22:31,,20,260,,0
71671,12,1,13,178,2017-11-06 16:22:55,,12,156,,0
70226,3,1,19,452,2017-11-06 16:20:20,,3,57,,0
109832,1,1,13,115,2017-11-06 16:05:46,,1,13,,0
172386,3,1,13,280,2017-11-06 16:08:53,,3,39,,0
94370,13,1,13,477,2017-11-06 16:17:02,,13,169,,0
