ip,app,device,os,channel,app*device,app*os,time_diff,ip_freq,app_freq,device_freq,os_freq,channel_freq,is_attributed
203031,12,1,19,424,12,228,0.018761574,0.000263574,0.086188719,0.805218766,0.208750659,0.003426463,0
196076,3,1,8,115,3,24,0.015185185,0.000263574,0.087770163,0.805218766,0.023458092,0.007380074,0
142508,127,0,0,213,0,0,0.015891204,0.000263574,0.000527148,0.104902478,0.035846073,0.144175013,1
154055,120,0,21,213,0,2520,0.015428241,0.000263574,0.000790722,0.104902478,0.027938851,0.144175013,1
20015,21,1,37,128,21,777,0.017627315,0.000263574,0.015287296,0.805218766,0.009225092,0.017395888,0
121505,20,2,14,259,40,280,0.02537037,0.000263574,0.016605166,0.030311017,0.012124407,0.035055351,0
25614,2,1,13,205,2,26,0.016898148,0.000263574,0.069583553,0.805218766,0.191881919,0.013969425,0
15474,15,1,36,245,15,540,0.013738426,0.000527148,0.063257775,0.805218766,0.002372167,0.051396943,0
209742,172,1,20,414,172,3440,0.016909722,0.000263574,0.000263574,0.805218766,0.019240907,0.000527148,1
122174,9,1,6,134,9,54,0.019571759,0.000263574,0.085134423,0.805218766,0.025566684,0.052714813,0
142025,28,1,18,135,28,504,0.016655093,0.000263574,0.00131787,0.805218766,0.033210332,0.008170796,0
150769,84,0,38,101,0,3192,0.017094907,0.000263574,0.005007907,0.104902478,0.010542963,0.036636795,1
132777,29,1,10,213,29,290,0.02837963,0.000263574,0.042435424,0.805218766,0.021349499,0.144175013,1
42470,11,1,19,325,11,209,0.027175926,0.000263574,0.011860833,0.805218766,0.208750659,0.000527148,0
188328,9,1,6,215,9,54,0.028391204,0.000263574,0.085134423,0.805218766,0.025566684,0.016078018,0
3210,12,1,17,328,12,204,0.026481481,0.000263574,0.086188719,0.805218766,0.044544017,0.002635741,0
152120,155,1,19,213,155,2945,0.016643519,0.000263574,0.001845018,0.805218766,0.208750659,0.144175013,1
122228,18,1,17,107,18,306,0.021215278,0.000263574,0.043226147,0.805218766,0.044544017,0.015814444,0
133729,19,437,24,210,8303,456,0.028472222,0.000263574,0.133632051,0.000263574,0.055350554,0.004744333,1
98207,18,2,13,121,36,234,0.016689815,0.000790722,0.043226147,0.030311017,0.191881919,0.021085925,0
17706,12,1,15,245,12,180,0.014664352,0.000263574,0.086188719,0.805218766,0.020822351,0.051396943,0
23610,26,1,37,121,26,962,0.025011574,0.000263574,0.006325778,0.805218766,0.009225092,0.021085925,0
188159,3,1,17,466,3,51,0.015648148,0.000263574,0.087770163,0.805218766,0.044544017,0.002108593,1
145286,19,211,29,213,4009,551,0.013460648,0.000263574,0.133632051,0.000790722,0.019768055,0.144175013,1
76765,3,1,22,280,3,66,0.018194444,0.000263574,0.087770163,0.805218766,0.043489721,0.031365314,0
149503,3,1,13,280,3,39,0.016759259,0.000527148,0.087770163,0.805218766,0.191881919,0.031365314,0
99722,8,1,35,259,8,280,0.016689815,0.000790722,0.042435424,0.805218766,0.00975224,0.035055351,0
118807,28,1,19,135,28,532,0.024247685,0.000263574,0.00131787,0.805218766,0.208750659,0.008170796,0
99559,3,1,19,280,3,57,0.021631944,0.000263574,0.087770163,0.805218766,0.208750659,0.031365314,0
116376,14,1,22,379,14,308,0.023171296,0.000527148,0.023458092,0.805218766,0.043489721,0.007380074,0
37363,9,1,16,134,9,144,0.02625,0.000263574,0.085134423,0.805218766,0.013969425,0.052714813,0
7441,35,1,13,21,35,455,0.023402778,0.000263574,0.078281497,0.805218766,0.191881919,0.042962572,1
165585,19,0,24,347,0,456,0.014780093,0.000263574,0.133632051,0.104902478,0.055350554,0.022140221,1
69747,35,1,18,21,35,630,0.0209375,0.000527148,0.078281497,0.805218766,0.033210332,0.042962572,1
211984,3,1,18,130,3,54,0.022372685,0.000263574,0.087770163,0.805218766,0.033210332,0.003426463,0
81356,19,0,24,213,0,456,0.017997685,0.000263574,0.133632051,0.104902478,0.055350554,0.144175013,1
110628,2,1,20,237,2,40,0.026168981,0.000263574,0.069583553,0.805218766,0.019240907,0.004744333,0
92681,3,1,17,280,3,51,0.022013889,0.000263574,0.087770163,0.805218766,0.044544017,0.031365314,0
80048,8,1,13,145,8,104,0.024502315,0.000263574,0.042435424,0.805218766,0.191881919,0.038745387,0
3442,35,1,13,274,35,455,0.01380787,0.000263574,0.078281497,0.805218766,0.191881919,0.038745387,1
75588,8,1,18,145,8,144,0.014016204,0.000263574,0.042435424,0.805218766,0.033210332,0.038745387,0
69489,11,1,19,487,11,209,0.017013889,0.000263574,0.011860833,0.805218766,0.208750659,0.000790722,0
17149,13,1,53,477,13,689,0.028935185,0.000790722,0.009488666,0.805218766,0.005271481,0.021085925,0
105475,3,1,19,409,3,57,0.01369213,0.001845018,0.087770163,0.805218766,0.208750659,0.007380074,0
97684,20,1,22,259,20,440,0.02412037,0.000790722,0.016605166,0.805218766,0.043489721,0.035055351,1
180875,2,1,1,469,2,2,0.0259375,0.000263574,0.069583553,0.805218766,0.012124407,0.007907222,1
73487,8,1,13,145,8,104,0.016168981,0.003690037,0.042435424,0.805218766,0.191881919,0.038745387,0
22792,107,1,19,171,107,2033,0.017523148,0.000263574,0.002635741,0.805218766,0.208750659,0.003426463,1
187947,15,1,17,245,15,255,0.013252315,0.000263574,0.063257775,0.805218766,0.044544017,0.051396943,0
121909,20,1,19,259,20,380,0.027349537,0.000263574,0.016605166,0.805218766,0.208750659,0.035055351,1
175448,3,1,6,379,3,18,0.016631944,0.000263574,0.087770163,0.805218766,0.025566684,0.007380074,1
88228,2,1,16,364,2,32,0.019988426,0.000263574,0.069583553,0.805218766,0.013969425,0.003162889,0
130824,183,3032,607,347,554856,111081,0.028425926,0.000263574,0.000790722,0.003162889,0.0071165,0.022140221,0
129195,150,1,19,110,150,2850,0.017141204,0.000263574,0.002372167,0.805218766,0.208750659,0.006325778,1
52024,150,1,13,110,150,1950,0.024641204,0.000527148,0.002372167,0.805218766,0.191881919,0.006325778,1
132948,29,1,19,213,29,551,0.015601852,0.000263574,0.042435424,0.805218766,0.208750659,0.144175013,1
48798,18,1,13,121,18,234,0.023125,0.000263574,0.043226147,0.805218766,0.191881919,0.021085925,0
155137,3,1,19,113,3,57,0.019618056,0.000263574,0.087770163,0.805218766,0.208750659,0.008697944,1
192413,3,1,19,280,3,57,0.016875,0.000263574,0.087770163,0.805218766,0.208750659,0.031365314,1
110986,35,1,18,21,35,630,0.025335648,0.000263574,0.078281497,0.805218766,0.033210332,0.042962572,1
78992,3,1,15,379,3,45,0.023009259,0.000263574,0.087770163,0.805218766,0.020822351,0.007380074,0
26589,2,1,12,364,2,24,0.024201389,0.000263574,0.069583553,0.805218766,0.007643648,0.003162889,0
44663,29,1,22,343,29,638,0.028356481,0.000263574,0.042435424,0.805218766,0.043489721,0.007380074,1
48581,9,1,17,134,9,153,0.015740741,0.000527148,0.085134423,0.805218766,0.044544017,0.052714813,0
210488,8,1,8,145,8,64,0.020231481,0.000263574,0.042435424,0.805218766,0.023458092,0.038745387,0
146363,19,73,24,213,1387,456,0.022465278,0.000263574,0.133632051,0.000790722,0.055350554,0.144175013,1
96777,8,1,6,145,8,48,0.019097222,0.000263574,0.042435424,0.805218766,0.025566684,0.038745387,0
79857,10,1,3,377,10,30,0.019108796,0.000790722,0.00975224,0.805218766,0.013705851,0.005798629,1
151214,45,1,4,213,45,180,0.017650463,0.000263574,0.004744333,0.805218766,0.000527148,0.144175013,1
167591,35,1,18,274,35,630,0.026481481,0.000263574,0.078281497,0.805218766,0.033210332,0.038745387,1
98454,9,1,19,232,9,171,0.020983796,0.000263574,0.085134423,0.805218766,0.208750659,0.004744333,0
51901,9,1,9,215,9,81,0.014583333,0.000263574,0.085134423,0.805218766,0.019504481,0.016078018,0
201069,2,1,12,122,2,24,0.013414352,0.000263574,0.069583553,0.805218766,0.007643648,0.00843437,0
64345,19,46,0,213,874,0,0.023796296,0.000263574,0.133632051,0.001054296,0.035846073,0.144175013,1
97744,15,1,13,245,15,195,0.026655093,0.000527148,0.063257775,0.805218766,0.191881919,0.051396943,0
49404,35,1,41,274,35,1435,0.019259259,0.000263574,0.078281497,0.805218766,0.012124407,0.038745387,1
5348,23,1,17,153,23,391,0.026273148,0.003162889,0.006589352,0.805218766,0.044544017,0.012387981,0
3376,12,1,15,178,12,180,0.014085648,0.000263574,0.086188719,0.805218766,0.020822351,0.03110174,0
107806,3,1,48,424,3,144,0.026134259,0.000263574,0.087770163,0.805218766,0.001845018,0.003426463,0
128016,23,1,98,153,23,2254,0.025520833,0.000263574,0.006589352,0.805218766,0.000263574,0.012387981,0
52052,8,1,8,145,8,64,0.019166667,0.000263574,0.042435424,0.805218766,0.023458092,0.038745387,1
2600,1,1,13,134,1,13,0.013263889,0.000263574,0.01818661,0.805218766,0.191881919,0.052714813,0
123416,15,1,13,315,15,195,0.025949074,0.000263574,0.063257775,0.805218766,0.191881919,0.002372167,0
30173,8,1,17,145,8,136,0.014733796,0.000263574,0.042435424,0.805218766,0.044544017,0.038745387,1
148381,3,1,13,489,3,39,0.022002315,0.000263574,0.087770163,0.805218766,0.191881919,0.005798629,0
5348,12,1,17,178,12,204,0.027256944,0.003162889,0.086188719,0.805218766,0.044544017,0.03110174,0
62701,3,1,18,280,3,54,0.017291667,0.000263574,0.087770163,0.805218766,0.033210332,0.031365314,1
85085,19,0,0,213,0,0,0.02443287,0.000263574,0.133632051,0.104902478,0.035846073,0.144175013,1
100901,20,1,13,259,20,260,0.019675926,0.000263574,0.016605166,0.805218766,0.191881919,0.035055351,1
26564,9,2,9,244,18,81,0.028773148,0.000263574,0.085134423,0.030311017,0.019504481,0.005798629,0
202187,29,1,6,213,29,174,0.022013889,0.000263574,0.042435424,0.805218766,0.025566684,0.144175013,1
152346,2,1,22,212,2,44,0.021284722,0.000527148,0.069583553,0.805218766,0.043489721,0.004217185,0
181033,12,1,1,178,12,12,0.020821759,0.000263574,0.086188719,0.805218766,0.012124407,0.03110174,1
60085,35,1,19,21,35,665,0.029085648,0.000263574,0.078281497,0.805218766,0.208750659,0.042962572,1
199243,29,1,19,333,29,551,0.025381944,0.000263574,0.042435424,0.805218766,0.208750659,0.009488666,1
86349,19,0,24,210,0,456,0.018912037,0.000263574,0.133632051,0.104902478,0.055350554,0.004744333,1
73487,12,1,13,178,12,156,0.025694444,0.003690037,0.086188719,0.805218766,0.191881919,0.03110174,0
83535,8,1,3,145,8,24,0.013981481,0.000263574,0.042435424,0.805218766,0.013705851,0.038745387,1
160519,24,1,13,105,24,312,0.015636574,0.000263574,0.012651555,0.805218766,0.191881919,0.012387981,0
149846,125,0,607,341,0,75875,0.027025463,0.000263574,0.000527148,0.104902478,0.0071165,0.000527148,1
18703,21,1,47,128,21,987,0.015868056,0.001054296,0.015287296,0.805218766,0.003690037,0.017395888,0
8401,24,2,17,105,48,408,0.018622685,0.000263574,0.012651555,0.030311017,0.044544017,0.012387981,0
100393,16,1,19,213,16,304,0.021145833,0.00131787,0.002372167,0.805218766,0.208750659,0.144175013,1
188335,3,2,13,280,6,39,0.020775463,0.000263574,0.087770163,0.030311017,0.191881919,0.031365314,1
44067,3,1,19,135,3,57,0.020428241,0.000263574,0.087770163,0.805218766,0.208750659,0.008170796,0
177874,35,1,19,21,35,665,0.023136574,0.000263574,0.078281497,0.805218766,0.208750659,0.042962572,1
81753,9,1,37,215,9,333,0.026226852,0.000263574,0.085134423,0.805218766,0.009225092,0.016078018,0
11675,9,1,16,258,9,144,0.016273148,0.000263574,0.085134423,0.805218766,0.013969425,0.0071165,0
91066,11,1,30,122,11,330,0.026018519,0.000527148,0.011860833,0.805218766,0.003690037,0.00843437,0
67746,64,1,15,459,64,960,0.022800926,0.000263574,0.010542963,0.805218766,0.020822351,0.014496574,0
135909,19,0,24,213,0,456,0.019872685,0.000263574,0.133632051,0.104902478,0.055350554,0.144175013,1
133522,19,0,21,347,0,399,0.028344907,0.000263574,0.133632051,0.104902478,0.027938851,0.022140221,1
143638,36,1,13,110,36,468,0.015150463,0.000263574,0.004480759,0.805218766,0.191881919,0.006325778,1
106434,35,1,13,21,35,455,0.017037037,0.000263574,0.078281497,0.805218766,0.191881919,0.042962572,1
27020,8,1,13,145,8,104,0.022210648,0.000263574,0.042435424,0.805218766,0.191881919,0.038745387,0
97716,9,1,13,442,9,117,0.014641204,0.00131787,0.085134423,0.805218766,0.191881919,0.012915129,1
73516,11,1,13,469,11,143,0.016770833,0.005798629,0.011860833,0.805218766,0.191881919,0.007907222,1
145920,19,0,0,213,0,0,0.01412037,0.000263574,0.133632051,0.104902478,0.035846073,0.144175013,1
49289,9,1,10,134,9,90,0.025266204,0.000263574,0.085134423,0.805218766,0.021349499,0.052714813,0
84301,15,1,25,245,15,375,0.014467593,0.000263574,0.063257775,0.805218766,0.02398524,0.051396943,0
14932,15,1,19,245,15,285,0.016898148,0.000263574,0.063257775,0.805218766,0.208750659,0.051396943,0
85329,2,1,3,205,2,6,0.017615741,0.000527148,0.069583553,0.805218766,0.013705851,0.013969425,0
159702,3,1,19,135,3,57,0.020972222,0.000527148,0.087770163,0.805218766,0.208750659,0.008170796,0
53823,13,1,17,469,13,221,0.0275,0.000263574,0.009488666,0.805218766,0.044544017,0.007907222,0
110079,21,1,16,128,21,336,0.016469907,0.000263574,0.015287296,0.805218766,0.013969425,0.017395888,0
73516,11,1,19,219,11,209,0.019363426,0.005798629,0.011860833,0.805218766,0.208750659,0.006852926,1
135439,35,1,19,274,35,665,0.025462963,0.000263574,0.078281497,0.805218766,0.208750659,0.038745387,1
115271,1,1,10,134,1,10,0.020335648,0.000263574,0.01818661,0.805218766,0.021349499,0.052714813,0
96388,3,1,41,379,3,123,0.013842593,0.000263574,0.087770163,0.805218766,0.012124407,0.007380074,0
88332,35,1,17,274,35,595,0.019236111,0.000263574,0.078281497,0.805218766,0.044544017,0.038745387,1
82041,19,0,0,347,0,0,0.026875,0.000263574,0.133632051,0.104902478,0.035846073,0.022140221,1
33288,35,1,19,21,35,665,0.021712963,0.000263574,0.078281497,0.805218766,0.208750659,0.042962572,1
56632,2,1,13,435,2,26,0.014675926,0.000263574,0.069583553,0.805218766,0.191881919,0.005798629,0
28791,15,1,6,140,15,90,0.014027778,0.000263574,0.063257775,0.805218766,0.025566684,0.013178703,0
121312,3,1,9,130,3,27,0.019803241,0.000263574,0.087770163,0.805218766,0.019504481,0.003426463,0
166546,39,1,22,101,39,858,0.014085648,0.000263574,0.002108593,0.805218766,0.043489721,0.036636795,1
38168,18,1,19,439,18,342,0.017546296,0.000527148,0.043226147,0.805218766,0.208750659,0.005798629,0
78329,3,1,13,280,3,39,0.025717593,0.000263574,0.087770163,0.805218766,0.191881919,0.031365314,0
166650,72,1,41,101,72,2952,0.015300926,0.000263574,0.011860833,0.805218766,0.012124407,0.036636795,1
58793,18,1,10,107,18,180,0.025659722,0.000263574,0.043226147,0.805218766,0.021349499,0.015814444,0
47231,18,1,19,107,18,342,0.016689815,0.000263574,0.043226147,0.805218766,0.208750659,0.015814444,0
77065,19,0,29,213,0,551,0.028310185,0.000263574,0.133632051,0.104902478,0.019768055,0.144175013,1
197311,19,0,24,347,0,456,0.020358796,0.000263574,0.133632051,0.104902478,0.055350554,0.022140221,1
117354,13,1,10,469,13,130,0.01619213,0.000263574,0.009488666,0.805218766,0.021349499,0.007907222,0
60598,12,1,13,326,12,156,0.028981481,0.000263574,0.086188719,0.805218766,0.191881919,0.001054296,0
131572,19,211,29,213,4009,551,0.0178125,0.000263574,0.133632051,0.000790722,0.019768055,0.144175013,1
174556,23,1,22,153,23,506,0.023784722,0.000263574,0.006589352,0.805218766,0.043489721,0.012387981,0
186310,35,1,13,274,35,455,0.021574074,0.000263574,0.078281497,0.805218766,0.191881919,0.038745387,1
92735,9,1,22,134,9,198,0.015046296,0.002108593,0.085134423,0.805218766,0.043489721,0.052714813,1
14348,11,1,37,319,11,407,0.024930556,0.000527148,0.011860833,0.805218766,0.009225092,0.003426463,0
91467,1,1,26,134,1,26,0.018599537,0.000263574,0.01818661,0.805218766,0.003690037,0.052714813,0
146001,14,1,9,349,14,126,0.018032407,0.000527148,0.023458092,0.805218766,0.019504481,0.001845018,0
159521,19,203,24,213,3857,456,0.019328704,0.000263574,0.133632051,0.000527148,0.055350554,0.144175013,1
84644,12,1,19,178,12,228,0.017662037,0.000790722,0.086188719,0.805218766,0.208750659,0.03110174,0
154527,1,1,13,178,1,13,0.014328704,0.000263574,0.01818661,0.805218766,0.191881919,0.03110174,0
77772,19,0,0,213,0,0,0.019571759,0.000263574,0.133632051,0.104902478,0.035846073,0.144175013,1
95473,12,2,20,245,24,240,0.017025463,0.000263574,0.086188719,0.030311017,0.019240907,0.051396943,0
93780,14,1,13,442,14,182,0.023819444,0.000527148,0.023458092,0.805218766,0.191881919,0.012915129,0
195724,8,1,22,259,8,176,0.016145833,0.000263574,0.042435424,0.805218766,0.043489721,0.035055351,1
92735,3,2,27,153,6,81,0.016990741,0.002108593,0.087770163,0.030311017,0.0071165,0.012387981,0
37434,13,1,13,477,13,169,0.020625,0.000263574,0.009488666,0.805218766,0.191881919,0.021085925,0
77112,9,1,20,244,9,180,0.01912037,0.000263574,0.085134423,0.805218766,0.019240907,0.005798629,1
17663,18,1,19,134,18,342,0.027974537,0.000263574,0.043226147,0.805218766,0.208750659,0.052714813,0
142021,19,0,21,213,0,399,0.025358796,0.000263574,0.133632051,0.104902478,0.027938851,0.144175013,1
55256,21,1,25,128,21,525,0.01943287,0.000527148,0.015287296,0.805218766,0.02398524,0.017395888,0
212262,2,1,19,122,2,38,0.025856481,0.000263574,0.069583553,0.805218766,0.208750659,0.00843437,0
195758,29,1,19,213,29,551,0.019155093,0.000263574,0.042435424,0.805218766,0.208750659,0.144175013,1
166326,39,1,19,101,39,741,0.020324074,0.000263574,0.002108593,0.805218766,0.208750659,0.036636795,1
46438,14,1,9,379,14,126,0.020763889,0.000263574,0.023458092,0.805218766,0.019504481,0.007380074,0
195357,19,0,29,213,0,551,0.021608796,0.000263574,0.133632051,0.104902478,0.019768055,0.144175013,1
44494,15,1,13,140,15,195,0.013460648,0.000527148,0.063257775,0.805218766,0.191881919,0.013178703,0
184207,19,0,0,213,0,0,0.01400463,0.000263574,0.133632051,0.104902478,0.035846073,0.144175013,1
77048,35,1,49,21,35,1715,0.021006944,0.000527148,0.078281497,0.805218766,0.00131787,0.042962572,1
203230,9,1,19,215,9,171,0.027094907,0.000263574,0.085134423,0.805218766,0.208750659,0.016078018,0
166182,84,0,38,101,0,3192,0.023078704,0.000263574,0.005007907,0.104902478,0.010542963,0.036636795,1
76324,29,1,19,210,29,551,0.014444444,0.000263574,0.042435424,0.805218766,0.208750659,0.004744333,1
116692,23,1,19,153,23,437,0.025381944,0.000263574,0.006589352,0.805218766,0.208750659,0.012387981,0
34619,1,1,19,137,1,19,0.017407407,0.000263574,0.01818661,0.805218766,0.208750659,0.006852926,0
2357,12,1,25,265,12,300,0.025393519,0.000263574,0.086188719,0.805218766,0.02398524,0.011597259,0
166410,19,0,24,347,0,456,0.0278125,0.000263574,0.133632051,0.104902478,0.055350554,0.022140221,1
100393,3,1,14,452,3,42,0.028506944,0.00131787,0.087770163,0.805218766,0.012124407,0.004217185,0
145922,19,46,0,282,874,0,0.013668981,0.000263574,0.133632051,0.001054296,0.035846073,0.008697944,1
39784,21,1,15,128,21,315,0.014780093,0.000527148,0.015287296,0.805218766,0.020822351,0.017395888,0
44645,15,1,18,3,15,270,0.025324074,0.000263574,0.063257775,0.805218766,0.033210332,0.003953611,0
188735,3,1,22,173,3,66,0.021319444,0.000263574,0.087770163,0.805218766,0.043489721,0.003690037,1
102206,202,1,19,421,202,3838,0.026527778,0.000527148,0.000790722,0.805218766,0.208750659,0.000790722,1
142279,72,1,20,101,72,1440,0.029050926,0.000263574,0.011860833,0.805218766,0.019240907,0.036636795,1
94203,15,1,1,278,15,15,0.027465278,0.000263574,0.063257775,0.805218766,0.012124407,0.001054296,0
190846,2,1,32,364,2,64,0.017893519,0.000263574,0.069583553,0.805218766,0.004217185,0.003162889,0
150910,3,1,19,280,3,57,0.016875,0.000263574,0.087770163,0.805218766,0.208750659,0.031365314,0
168400,175,1,23,101,175,4025,0.017233796,0.000263574,0.000790722,0.805218766,0.004744333,0.036636795,1
157780,64,1,19,459,64,1216,0.021666667,0.000263574,0.010542963,0.805218766,0.208750659,0.014496574,0
113839,481,1,14,213,481,6734,0.018738426,0.000527148,0.000263574,0.805218766,0.012124407,0.144175013,1
171575,3,1,40,424,3,120,0.022847222,0.000790722,0.087770163,0.805218766,0.006325778,0.003426463,1
28627,35,1,22,274,35,770,0.022615741,0.000263574,0.078281497,0.805218766,0.043489721,0.038745387,1
14456,35,1,8,21,35,280,0.01755787,0.000263574,0.078281497,0.805218766,0.023458092,0.042962572,1
