app	device	os	channel	delta_time	is_attributed
19	0	0	213	1.65	1
14	1	13	489	1.38	0
23	1	10	153	1.7	0
3	1	13	280	1.54	0
13	1	28	477	1.19	0
9	1	8	107	2.49	0
60	1	19	21	0.47	1
3	1	19	280	1.44	0
8	1	19	145	0.41	1
35	1	18	21	1.42	1
35	1	19	21	2.53	1
18	1	25	107	1.48	0
13	1	13	477	1.62	0
5	1	47	113	0.46	1
9	1	19	334	2.55	1
2	1	1	469	0.77	0
10	1	19	101	0.61	1
18	1	19	376	1.55	0
45	1	13	213	0.19	1
12	1	23	259	2.57	0
27	1	19	153	2.48	0
19	0	38	213	0.78	1
19	0	24	343	0.24	1
2	1	6	477	2.8	0
29	1	13	213	0.34	1
121	1	13	203	2.95	1
19	0	29	213	2.72	1
2	1	20	219	0.39	0
83	0	24	171	1.64	1
18	1	28	107	2.54	0
35	1	13	274	0.59	1
17	1	13	280	0.4	0
35	1	19	21	1.45	1
13	1	19	469	2.55	0
10	1	30	113	0.55	1
9	1	13	134	0.05	0
8	1	13	145	2.92	0
12	1	19	140	0.54	0
2	1	19	282	2.06	1
3	2	3	402	2.87	0
35	1	13	21	0.43	1
8	1	6	145	1.32	0
12	1	18	178	2.55	0
197	1	16	282	0.1	1
20	1	23	478	1.7	0
45	1	7	419	2.87	1
2	1	13	205	1	0
19	18	0	213	0.43	1
3	1	8	402	2.95	0
19	97	24	213	1.91	1
35	1	19	21	2.34	1
35	1	19	274	0.88	1
12	1	16	328	0.69	0
2	1	19	236	0.43	0
5	1	30	113	1.7	1
19	408	59	210	2.27	1
29	1	22	101	2.91	1
9	1	17	244	2.08	1
18	1	18	107	0.59	0
3	1	8	280	0.46	0
130	40	24	213	2.83	1
3	1	19	280	2.64	0
2	1	13	452	2.75	1
19	0	24	347	2.69	1
7	1	19	101	0.77	0
8	1	22	145	2.51	1
3	1	19	466	2.93	0
25	1	19	259	1.54	0
2	1	18	219	1.54	0
2	1	13	237	0.56	0
19	0	21	213	1.73	1
1	1	13	134	0.71	0
19	0	29	347	2.25	1
13	1	18	400	0.75	0
29	1	13	213	0.76	1
12	1	10	265	0.81	0
35	1	9	21	0.03	1
15	1	39	245	2.03	0
35	1	10	21	1.46	1
9	1	19	445	2.52	0
19	0	24	213	1.64	1
12	1	19	105	2.38	0
19	1931	24	213	2.8	1
9	1	12	466	2.87	0
5	1	27	113	0.76	1
8	1	1	145	2.46	0
19	0	29	333	0.91	1
18	1	9	107	0.45	0
3	1	19	480	0.64	0
2	1	25	317	1.79	0
19	381	21	282	1.84	1
56	1	13	406	1.45	0
1	1	13	439	0.07	0
2	1	17	477	0.74	0
15	1	16	379	1.49	0
3	1	13	489	0.79	0
6	1	20	459	1.87	0
12	1	13	265	1.31	0
19	0	0	213	1.93	1
12	1	13	178	0.57	0
19	37	24	213	1.38	1
21	2	58	232	2.95	0
26	1	19	262	0.36	0
19	6	29	213	0.48	1
29	1	20	101	2.68	1
5	1	4	113	1.8	1
29	1	19	213	1.06	1
5	1	61	113	2.01	1
18	1	13	121	2.29	0
18	1	19	439	1.01	0
26	1	13	266	1.82	0
3	1	19	115	1.41	0
18	1	25	107	0.99	0
14	1	15	160	1.46	0
45	1	47	465	0.61	1
3	1	47	489	1.3	0
19	1481	38	213	1.59	1
14	1	17	463	2.97	0
15	1	25	265	2.4	0
12	1	13	178	1.7	0
64	1	41	459	1.46	0
19	194	50	213	2.88	1
35	1	19	274	0.47	1
19	0	0	213	2.66	1
23	1	19	153	0.92	0
14	1	13	463	1.51	0
3	1	36	213	2.6	1
19	0	21	213	2.6	1
10	1	4	113	0.79	1
5	1	19	377	1.56	1
35	1	22	21	1.49	1
82	1	57	224	2.76	0
35	1	13	21	0.33	1
36	1	13	110	0.84	0
29	1	10	101	0.81	1
35	1	19	21	0.48	1
2	1	10	236	1.58	0
25	1	13	259	2.71	0
15	1	22	315	0.39	0
12	1	13	481	1.83	0
19	0	24	213	2.95	1
1	1	41	153	1.48	0
19	0	21	213	0.51	1
19	0	29	347	2.56	1
19	0	29	213	1.1	1
18	1	13	107	1.68	0
18	1	19	107	2.75	0
9	1	64	244	2.77	0
107	1	22	171	1.45	1
3	1	18	280	1.42	0
29	1	13	343	2.98	1
3	1	19	317	1.68	0
8	1	18	145	2.58	0
3	1	22	280	2.03	0
19	0	0	213	0.56	1
12	1	19	265	2.94	0
9	1	47	107	1.92	0
19	0	29	343	2.83	1
9	1	13	232	0.16	0
19	0	0	213	1.86	1
3	1	25	489	2.62	0
3	1	19	130	2.74	0
3	1	8	417	0.61	0
2	1	15	122	1.4	0
2	1	19	435	1.67	0
84	374	29	101	1.47	1
6	2	1	125	1.8	0
66	1	22	101	0.99	1
5	1	43	113	2.47	1
3	1	30	280	2.4	0
66	1	19	101	0.52	1
5	1	40	113	2.59	1
8	1	13	145	0.37	1
20	1	19	259	0.47	1
43	1	13	330	1.52	1
19	0	24	347	2.65	1
3	1	13	480	2.5	0
45	1	4	419	2.78	1
35	1	19	21	2.57	1
21	1	15	128	0.32	0
3	1	19	115	1.37	0
24	1	13	178	1.08	1
3	1	10	280	2.55	0
19	88	24	333	1.36	1
2	1	19	219	0.81	0
12	1	18	205	1.88	0
12	1	47	259	2.84	0
12	1	13	19	0.23	0
5	1	27	113	2.77	1
19	40	24	213	1.39	1
9	1	8	232	0.05	0
19	0	38	213	2.78	1
19	0	24	213	2.76	1
62	1	13	21	1.36	1
12	2	6	265	0.94	0
9	1	19	466	2.72	0
3	1	6	19	0.33	0
35	1	18	21	1.43	1
72	1	17	101	2.84	1
2	1	6	401	2.84	0
19	109	29	213	1.8	1
12	1	19	277	1.41	1
13	1	19	400	1.74	0
2	1	8	477	1.63	0
115	1	19	243	1.06	1
3	1	6	130	2.63	0
19	0	50	347	2.54	1
19	0	24	347	0.3	1
14	1	3	123	1.61	1
2	1	16	237	1.55	0
18	1	19	107	0.85	0
2	1	16	212	1.63	0
3	1	3	280	2.5	0
5	1	43	113	0.79	1
3	1	22	137	2.4	0
3	1	10	173	2.47	0
35	1	19	21	1.37	1
84	0	0	101	1.61	1
15	1	46	315	1.76	0
29	1	13	343	1.92	1
12	1	13	328	1.84	0
37	1	13	213	0.74	1
96	129	24	282	1.77	1
23	1	27	153	2.32	0
12	1	19	178	1.44	0
12	1	19	328	3.01	0
2	2	17	205	2	0
8	1	19	145	2.05	0
18	1	17	134	2.96	0
3	1	18	417	2.9	0
72	2	18	101	1.4	1
5	1	43	113	0.97	1
29	2	13	343	0.68	1
2	1	17	435	0.94	0
9	2	37	215	1.12	0
45	1	26	5	2.63	1
35	1	19	274	1.91	1
35	1	10	21	2.39	1
12	1	25	245	0.53	0
3	1	19	489	0.82	0
23	1	8	153	0.44	0
18	1	13	107	1.75	1
29	1	19	213	2.78	1
3	1	14	466	0.61	0
10	1	1	113	1.8	1
19	0	21	213	2.89	1
26	1	19	477	2.96	0
3	1	19	280	1.67	0
3	1	19	280	1.78	0
23	1	19	153	2.66	0
45	1	1	5	1.83	1
12	1	20	259	2.39	0
29	1	17	213	1.87	1
155	1	8	213	2.91	1
19	299	0	333	1.47	1
3	1	13	280	1.41	0
18	1	20	439	2.76	0
19	0	24	347	1.76	1
3	1	10	205	1.35	0
18	2	97	121	1.01	0
19	106	21	213	0.27	1
14	1	117	480	2.4	0
45	1	37	465	1.63	1
27	1	17	122	0.15	0
21	1	18	128	2.47	0
19	7	21	213	0.67	1
18	1	20	107	1.4	0
145	184	21	320	0.31	1
5	1	47	113	1.79	1
3	1	8	211	3	0
15	1	20	245	0.68	0
13	1	13	477	1.38	0
12	1	13	328	2.59	0
11	1	22	481	2.97	0
19	97	24	213	2.02	1
8	1	13	145	2.6	1
15	1	13	265	2.67	0
21	1	32	128	2.84	0
11	1	13	487	2.58	1
12	1	13	140	2.34	0
12	1	19	328	2.44	1
19	0	0	333	1.59	1
9	1	13	442	2.72	1
2	1	3	469	0.56	0
64	1	18	459	1.51	0
14	1	13	463	0.45	0
9	1	19	234	2.96	0
3	1	16	280	2.62	0
19	0	24	347	1.51	1
18	1	17	134	2.35	0
8	1	13	145	2.77	1
45	1	15	213	1.91	1
51	0	24	203	2.56	1
5	1	7	113	2.92	1
10	1	11	113	0.43	1
17	1	8	118	2.75	1
2	1	16	122	0.45	1
29	1	18	333	1.03	1
9	1	19	134	0.38	0
1	2	9	125	0.8	0
2	1	6	477	1.43	0
18	1	19	107	1.97	0
2	1	1	477	1.6	0
15	1	19	245	1.94	0
19	97	24	213	2.8	1
35	1	19	21	0.4	1
2	2	19	205	1.52	0
35	1	10	274	0.29	1
19	0	24	213	1.84	1
18	1	8	134	2.09	0
29	1	16	343	1.28	1
18	1	19	121	0.98	0
9	1	19	134	0.02	0
9	1	37	334	2.64	0
15	1	18	386	1.63	0
17	1	19	134	1.55	0
12	2	10	178	0.33	0
9	1	9	442	2.75	0
19	0	21	213	2.01	1
20	1	19	478	2.72	1
19	0	24	213	1.52	1
66	1	20	101	2.89	1
3	1	15	417	0.36	0
29	1	19	101	1.5	1
29	1	19	213	2.91	1
9	1	19	215	0.3	0
17	1	13	280	0.48	0
9	1	17	442	2.39	0
9	1	19	442	2.81	0
9	1	18	334	0.38	0
12	1	19	205	2.95	0
15	1	19	386	0.7	0
19	20	38	213	0.56	1
3	1	13	280	0.39	0
11	1	13	219	2.98	0
13	1	3	400	0.95	0
35	1	19	21	2.51	1
5	1	30	113	0.91	1
12	1	19	205	2.86	0
19	0	0	213	2.95	1
35	1	13	21	1.4	1
3	1	10	280	2.44	0
96	0	21	213	0.86	1
18	1	13	107	2.95	0
28	1	14	135	2.39	0
12	1	18	124	1.99	0
19	0	29	213	1.03	1
19	16	0	213	1.75	1
14	1	15	442	0.4	0
35	1	48	274	0.33	1
10	1	22	317	2.65	1
5	1	27	113	0.55	1
64	1	30	459	1.59	0
12	1	16	245	1.51	0
19	0	38	347	1.53	1
14	1	13	401	0.93	0
15	1	19	386	2.06	0
72	1	37	101	1.93	1
2	1	6	219	0.14	1
10	1	14	377	2.8	1
202	1	19	421	0.59	1
3	1	22	280	0.44	1
12	1	19	178	2.43	0
14	1	6	123	1.45	1
12	1	19	340	3.01	0
29	1	19	343	1.53	1
12	1	13	259	1.42	0
14	1	13	489	0.8	0
9	1	13	442	0.14	0
2	1	18	122	2.94	0
2	1	6	435	1.47	0
35	1	49	21	0.44	1
32	1	19	376	1.54	0
3	1	37	130	1.71	1
2	1	14	435	0.11	1
10	1	43	113	1.76	1
27	1	13	153	2.4	0
107	1	13	213	2.31	1
18	1	10	107	1.8	0
14	1	18	463	2.32	0
19	0	24	101	0.82	1
0	623	76	101	2.94	1
29	1	13	213	1.86	1
19	0	0	213	1.52	1
13	1	13	477	2.74	0
3	1	47	137	2.34	0
19	0	24	333	1.85	1
3	1	19	280	2.36	0
35	1	13	274	0.05	1
29	1	19	213	0.84	1
3	1	13	280	2.51	0
10	1	61	113	2.49	1
12	1	19	205	2.45	0
13	1	1	477	2.98	0
12	1	10	178	0.04	0
3	1	13	280	1.58	0
45	1	9	419	2.72	1
29	1	13	213	2.73	0
3	1	13	417	0.84	0
35	1	19	274	0.79	1
2	1	19	219	0.76	0
14	1	13	439	2.54	0
19	395	21	213	2.72	1
7	1	13	101	2.52	0
3	1	19	137	2.96	0
9	1	19	334	1.63	0
12	1	17	178	1.3	0
19	50	0	101	0.83	1
11	1	13	481	0.52	0
29	1	19	101	2.87	1
7	1	13	101	3.01	0
23	1	13	153	0.51	0
29	1	27	213	0.6	1
26	1	53	121	1.99	0
19	0	38	213	1.93	1
10	1	27	113	1.88	1
10	1	61	113	1.42	1
14	1	19	379	1.33	0
39	1	3	213	0.47	1
151	0	0	347	1.97	0
9	1	6	466	0.82	0
3	1	19	480	0.63	0
19	0	0	343	2.81	1
9	1	19	489	1.66	0
19	399	29	282	0.95	1
18	3032	607	107	0.05	0
12	1	19	409	0.45	0
9	1	30	466	1.78	0
9	1	23	334	1.82	0
15	1	19	153	0.8	0
79	1	10	213	1.13	1
9	1	22	215	1.56	0
29	1	13	213	1.7	1
8	1	13	145	2.51	0
3	1	13	137	2.11	0
15	1	10	386	0.48	0
12	1	13	219	1.93	0
12	1	2	481	2.4	0
19	0	0	347	0.86	1
19	21	24	213	0.94	1
35	1	13	274	0.02	1
1	1	10	153	0.77	0
45	1	36	465	0.77	1
15	1	8	140	2.16	0
18	1	19	134	2.68	1
3	1	13	137	1.9	0
15	1	10	315	0.47	0
15	1	13	265	2.39	0
107	1	19	171	1.32	1
25	1	43	259	1.36	0
5	1	36	113	1.53	1
19	0	21	213	2.43	1
10	1	13	377	1.8	1
9	1	13	127	2.55	0
47	1	32	484	2.86	0
29	1	22	343	0.27	1
3	1	1	205	2.63	0
3	1	25	137	1.97	0
3	1	6	205	2.91	0
2	1	22	452	0.13	0
2	1	13	212	2.62	0
2	1	36	377	0.67	0
2	1	30	477	1.06	0
2	1	19	477	2	0
2	1	19	237	2.43	0
13	1	19	477	2.28	0
10	1	19	317	2.55	1
35	1	18	21	2.02	1
10	1	36	113	2.87	1
19	0	0	213	0.88	1
25	1	8	259	1.49	0
35	1	13	21	2.35	1
6	1	37	125	2.96	0
15	1	30	111	1.55	0
9	1	53	466	0.99	0
3	1	37	173	0.91	0
15	1	15	278	1.51	0
151	0	50	347	0.05	0
19	0	29	213	0.48	1
9	1	19	134	0.63	0
19	0	38	101	2.77	1
19	0	21	213	1.03	1
19	0	21	213	0.56	1
12	1	19	178	0.46	0
19	0	29	213	0.59	1
19	0	29	333	2.35	1
19	386	21	213	2.79	1
24	1	35	105	0.96	0
10	1	14	317	0.4	1
19	0	29	213	0.59	1
19	220	21	213	1.77	1
12	1	8	265	2.9	0
21	1	19	232	1.41	0
5	1	36	113	0.77	1
12	1	17	178	2.83	0
19	0	0	213	1.9	1
1	1	8	150	0.53	0
3	1	13	280	1.79	0
2	1	13	219	2.72	0
9	1	22	234	0.68	1
19	0	24	213	2.71	1
19	6	29	213	2.01	1
19	214	24	213	1.67	1
19	0	0	213	2.59	1
5	1	32	113	1.85	1
2	1	16	236	2.64	1
29	1	19	213	2.44	1
9	1	14	244	2.73	1
23	1	13	153	1.49	0
18	1	13	134	0.36	0
5	1	32	113	2.92	1
29	1	13	343	1.86	1
19	0	0	347	2.37	1
19	40	24	213	2.72	1
3	1	17	489	1.62	0
19	0	24	347	2.71	1
35	1	19	21	1.41	1
35	1	18	21	0.46	1
19	0	24	213	2.49	1
35	1	18	21	1.51	1
18	1	13	107	1.83	0
45	1	49	5	1.57	1
3	1	19	489	0.61	0
3	1	17	19	2.83	0
15	1	19	130	0.51	0
35	1	19	21	1.6	1
9	1	13	244	0.56	0
5	1	37	113	0.8	1
1	1	13	150	2.47	1
3	1	13	135	2.37	0
2	1	19	122	1.99	0
3	1	17	153	1.89	0
19	0	0	101	1.95	1
14	1	10	480	2.99	0
3	1	6	137	2.88	0
12	1	18	259	2	0
60	1	22	21	2.94	0
3	1	19	280	0.4	0
10	1	43	113	2.64	1
19	0	24	213	0.46	1
29	1	19	213	1.66	1
0	180	29	101	1.39	1
29	1	19	343	1.03	1
93	1	47	371	1.46	0
19	453	0	213	0.89	1
18	1	22	134	1.89	0
2	1	13	212	1.19	0
107	1	8	171	2.66	1
35	1	18	274	1.53	1
15	1	13	315	1.4	0
19	0	0	213	2.37	1
14	1	18	489	0.37	0
15	1	19	245	2.39	0
14	1	53	442	1.62	0
154	1	19	243	2.12	1
20	1	8	478	1.33	0
9	1	14	244	1.78	1
3	1	13	280	2.96	0
35	1	19	274	1.92	1
18	1	13	439	1.68	1
12	1	13	105	1.57	0
29	1	19	343	2.44	1
19	0	21	213	0.96	1
72	1	13	101	2.33	1
23	1	15	153	0.79	0
13	1	18	400	0.8	0
19	60	38	213	2.89	1
3	1	15	137	2.14	0
29	1	19	213	2.67	1
21	2	37	128	0.84	0
27	1	20	122	2.53	0
9	1	37	466	1.94	0
12	1	27	245	0.98	0
9	1	19	258	2.38	1
12	1	3	178	0.41	0
12	1	13	140	2	0
190	1	14	101	0.51	1
1	1	73	153	2.34	0
18	1	13	107	0.68	1
19	0	38	213	0.43	1
9	1	13	466	1.47	1
10	1	37	113	1.7	1
3	1	12	135	1.48	0
3	1	19	280	1.46	0
84	0	607	101	0.65	1
15	1	40	245	2.64	0
3	1	35	424	1.63	0
35	1	13	274	0.66	1
35	1	18	21	2.58	1
83	0	24	171	0.7	1
18	1	41	107	1.84	0
62	1	19	21	1.38	1
3	1	17	205	1.32	0
14	1	19	379	0.79	1
20	1	13	259	2.52	1
35	1	16	274	2.03	1
18	1	19	121	1.56	0
108	1	13	243	1.92	1
18	1	13	134	1.96	0
26	1	32	477	2.85	0
12	1	8	328	1.78	0
12	1	19	178	0.42	0
5	1	32	113	0.7	1
35	1	6	21	1.47	1
12	1	28	124	0.67	0
35	1	22	274	1.63	1
1	1	10	150	1	0
15	1	6	278	1.41	0
18	1	13	107	1.78	0
3	1	19	280	2.63	0
18	1	23	439	1.86	0
39	1	25	213	1.62	1
19	0	29	101	1.98	1
35	1	13	21	0.5	1
18	1	31	107	2.54	0
45	1	61	419	0.75	1
19	0	38	213	1.66	1
35	1	19	21	1.68	1
19	0	24	333	0.93	1
1	1	16	134	1.76	0
15	1	19	245	1.57	0
11	1	13	319	0.52	0
2	1	15	236	0.41	0
35	1	19	21	0.39	1
18	1	14	439	2.68	0
18	1	13	134	2.62	1
19	0	24	333	0.92	1
18	1	17	134	2.83	0
19	0	24	213	0.64	1
9	1	41	134	0.5	0
19	0	21	213	2.87	1
11	1	3	122	1.62	0
35	1	18	274	0.3	1
19	0	24	213	0.95	1
8	1	13	145	2.57	0
35	1	19	274	1.39	1
15	2	9	245	1.97	0
36	1	31	373	1.6	0
10	1	36	113	1.63	1
35	1	13	21	0.47	1
11	1	13	319	0.58	1
9	1	25	442	0.72	0
2	1	17	213	1.65	1
19	0	24	347	2.91	1
45	1	43	419	2.76	1
14	1	16	467	2.84	0
29	1	18	213	1.66	1
3	1	19	153	0.84	0
7	1	30	101	2.33	1
35	1	19	21	1.63	1
12	1	15	178	0.74	0
12	2	9	140	2.75	0
15	1	15	140	2.41	0
3	1	23	280	1.96	0
15	1	19	111	2.24	0
15	1	17	245	1.09	0
5	1	61	113	0.69	1
19	53	21	213	2.77	1
12	1	6	259	2.61	0
9	1	9	334	2.37	0
29	1	3	213	0.27	1
5	1	4	113	2.69	1
45	1	36	419	0.59	1
18	1	22	121	0.53	0
12	1	9	245	0.67	0
10	1	4	113	2.56	1
9	1	13	127	2.42	0
72	1	37	101	0.35	1
12	1	18	409	0.03	0
10	1	37	113	1.71	1
2	1	16	469	2.73	0
8	1	19	145	0.96	0
19	0	24	101	2.68	1
9	1	18	215	0.68	1
35	1	13	21	1.54	1
13	1	8	477	1.09	0
5	1	4	113	2.79	1
35	1	13	274	2.67	1
8	1	19	145	2.62	1
27	1	19	153	0.93	0
21	1	25	128	2.95	0
6	2	14	459	0.79	0
167	1	13	213	1.01	1
19	0	50	213	1.95	1
2	1	15	236	2.55	0
3	1	19	205	2.88	0
3	1	26	280	2.59	0
19	101	29	213	2.91	1
3	1	16	442	1.45	0
70	0	0	243	1.12	1
3	1	17	19	2.4	0
19	101	29	213	0.51	1
9	1	19	127	2.47	1
9	1	11	232	2.44	0
35	1	19	274	1.78	1
19	0	21	213	2.8	1
35	1	13	21	1.38	1
66	1	13	101	1.41	1
53	3543	748	347	1.69	0
10	1	27	113	2.97	1
3	1	6	466	2.93	0
14	1	13	401	0.29	0
45	1	15	5	1.53	1
20	1	13	259	0.09	0
17	1	18	280	0.58	0
19	82	24	213	0.75	1
3	1	19	137	2.55	0
29	1	13	101	1.32	1
28	1	15	135	0.35	0
11	1	13	325	1.51	1
15	1	3	386	1.65	0
70	0	24	243	1.47	1
15	1	32	460	2.45	1
3	1	26	442	0.93	0
9	1	19	334	1.77	0
35	1	19	274	0.32	1
14	1	13	439	1.73	0
19	494	24	333	1.94	1
2	1	25	477	1.33	0
2	1	22	477	2.64	0
35	1	16	21	1.54	1
15	1	19	265	0.53	0
19	0	24	213	2.79	1
19	0	24	347	1.32	1
15	1	3	245	1.93	0
14	1	13	442	2.38	0
3	1	12	211	1.78	0
3	1	20	137	0.61	0
1	1	19	134	0.42	0
18	1	17	376	1.67	0
2	1	32	477	2.62	0
35	1	16	274	1.52	1
29	1	17	213	2.26	1
3	1	37	480	0.23	0
66	1	17	101	1.99	1
35	1	18	21	2.49	1
9	1	19	391	0.56	1
18	1	19	107	2.58	1
3	1	35	280	1.51	0
13	1	15	469	2.87	0
3	1	13	280	2.48	0
29	1	19	213	2.72	1
2	1	17	122	0.31	0
18	1	12	134	1.4	0
3	1	19	409	2.32	0
3	1	17	280	1.42	0
36	1	13	110	0.72	0
9	1	3	234	0.7	0
20	1	13	259	0.08	0
19	40	24	213	0.33	1
35	1	10	21	2.52	1
12	1	16	265	0.78	0
3	1	19	280	1.62	0
3	1	12	280	1.47	0
3	1	19	379	2.3	0
3	1	32	280	2.41	0
12	1	18	205	2.47	0
3	1	10	280	1.54	0
29	1	13	213	0.79	1
0	40	24	101	2.28	1
29	1	23	213	0.72	1
18	1	19	121	1.94	0
18	1	19	121	0.93	0
1	1	19	134	1.37	0
11	1	22	173	2.81	0
19	0	21	347	0.59	1
9	1	19	442	1.8	0
19	0	0	213	1.66	1
19	0	24	101	0.41	1
3	1	19	211	2.69	1
9	1	19	215	0.19	0
172	1	19	414	2.77	1
9	1	13	244	0.02	1
60	1	18	21	1.04	0
5	1	61	113	0.41	1
3	1	10	135	2.88	0
3	1	19	280	0.88	0
3	1	19	280	0.42	0
2	1	19	213	2.77	1
45	1	43	465	0.56	1
19	168	0	213	0.59	1
10	1	30	113	0.74	1
10	1	11	113	0.56	1
23	1	13	153	0.59	0
2	1	8	435	1.96	0
14	1	19	489	1.63	0
72	1	19	101	1.89	1
35	1	27	274	0.69	1
19	0	24	347	2.44	1
35	1	19	21	0.48	1
72	1	26	101	0.4	1
66	1	13	101	2.63	1
26	1	13	266	2.34	0
3	1	13	280	1.91	0
3	1	28	424	1.87	0
2	1	13	237	0.81	1
12	1	19	424	2.93	0
78	0	67	224	1.05	1
9	1	19	134	0.74	1
9	1	41	442	0.36	0
10	1	47	113	1.92	1
35	1	15	21	0.39	1
72	1	19	101	0.81	1
5	1	7	113	1.57	1
26	1	19	266	1.53	0
5	1	4	113	2.96	1
10	1	19	377	1.85	1
1	1	19	150	2.58	0
18	1	40	376	2	0
3	1	13	137	0.85	0
3	1	19	280	2.48	0
29	1	13	343	2.55	1
2	1	18	477	0.95	0
45	1	26	5	1.58	1
19	0	24	213	0.83	1
24	2	22	105	2.68	0
7	1	13	101	2.84	0
1	1	19	134	0.96	0
11	1	19	319	1.32	1
29	1	41	282	2.02	1
27	1	12	122	0.61	0
19	0	29	213	2.31	1
12	1	8	212	0.33	0
22	1	19	496	0.4	0
12	2	18	265	0.97	0
8	1	19	145	1.32	0
9	1	19	466	2.85	1
3	1	13	280	0.8	0
9	1	6	107	2.97	0
15	1	13	265	1.79	0
5	1	8	377	0.81	1
9	1	19	215	0.34	1
2	1	35	122	0.91	0
12	1	20	326	0.86	0
3	1	19	137	2.24	0
3	2	9	280	2.6	0
9	1	13	215	1.46	1
35	1	22	274	0.65	1
45	1	15	5	2.66	1
3	1	19	280	0.67	0
19	3545	0	213	1.05	1
19	0	29	213	0.81	1
13	1	13	469	1.71	0
5	1	61	113	3	1
19	0	0	213	1.82	1
29	1	41	213	0.98	1
40	1	20	243	0.45	1
19	0	24	213	0.8	1
12	1	19	340	1.65	0
15	1	13	245	1.39	0
3	1	53	135	2.33	0
3	1	19	409	1.84	0
19	0	29	333	2.53	1
19	922	29	282	2.98	1
19	0	29	213	0.88	1
45	1	11	419	2.55	1
18	1	19	439	0.74	1
6	1	13	459	0.6	0
9	1	13	244	0.68	0
14	1	47	467	2.89	0
50	0	50	213	2.42	1
35	1	3	21	2.15	1
11	1	19	481	1.8	0
2	1	17	219	2.47	0
6	1	8	459	1.81	0
15	1	41	245	2	0
3	1	17	137	0.03	0
9	1	22	466	2.03	1
62	1	13	21	1.81	1
18	1	53	121	0.99	0
25	1	19	259	1.55	0
19	0	29	213	0.92	1
2	1	19	435	2.41	1
2	1	13	435	1.58	0
9	1	19	215	0.05	0
19	49	21	213	1.01	1
22	1	25	116	2.66	0
18	1	22	121	0.23	1
25	1	13	259	2.4	0
9	1	22	127	2.85	0
29	1	19	213	2.58	1
9	1	19	258	1.42	0
9	1	9	466	2.01	0
35	1	19	274	1.36	1
19	0	0	347	0.56	1
21	1	22	232	2.96	0
14	1	19	480	2.87	0
19	0	29	213	1.5	1
19	0	21	213	1.58	1
12	1	9	259	2.69	0
19	6	29	213	2.81	1
19	0	0	213	0.76	1
19	154	24	213	1.53	1
13	1	25	477	1.78	0
3	1	22	402	2.48	0
19	707	29	213	1.97	1
96	0	38	213	0.79	1
19	37	24	213	0.6	1
19	0	24	213	2.99	1
14	1	13	379	2.68	0
12	1	19	205	0.4	0
1	1	19	101	2.99	0
18	1	20	134	1.31	0
3	1	6	280	1.97	0
35	1	8	274	2.8	1
8	1	19	145	0.84	1
