,0,1,2,3,4,5
90,18.0,3032.0,607.0,107.0,0.85,0.0
91,15.0,1.0,15.0,111.0,0.37,0.0
92,19.0,0.0,0.0,213.0,1.65,1.0
93,14.0,1.0,13.0,489.0,1.38,0.0
94,23.0,1.0,10.0,153.0,1.7,0.0
95,3.0,1.0,13.0,280.0,1.54,0.0
96,13.0,1.0,28.0,477.0,1.19,0.0
97,9.0,1.0,8.0,107.0,2.49,0.0
98,60.0,1.0,19.0,21.0,0.47,1.0
99,3.0,1.0,19.0,280.0,1.44,0.0
100,8.0,1.0,19.0,145.0,0.41,1.0
101,35.0,1.0,18.0,21.0,1.42,1.0
102,35.0,1.0,19.0,21.0,2.53,1.0
103,18.0,1.0,25.0,107.0,1.48,0.0
104,13.0,1.0,13.0,477.0,1.62,0.0
105,5.0,1.0,47.0,113.0,0.46,1.0
106,9.0,1.0,19.0,334.0,2.55,1.0
107,2.0,1.0,1.0,469.0,0.77,0.0
108,10.0,1.0,19.0,101.0,0.61,1.0
109,18.0,1.0,19.0,376.0,1.55,0.0
110,45.0,1.0,13.0,213.0,0.19,1.0
111,12.0,1.0,23.0,259.0,2.57,0.0
112,27.0,1.0,19.0,153.0,2.48,0.0
113,19.0,0.0,38.0,213.0,0.78,1.0
114,19.0,0.0,24.0,343.0,0.24,1.0
115,2.0,1.0,6.0,477.0,2.8,0.0
116,29.0,1.0,13.0,213.0,0.34,1.0
117,121.0,1.0,13.0,203.0,2.95,1.0
118,19.0,0.0,29.0,213.0,2.72,1.0
119,2.0,1.0,20.0,219.0,0.39,0.0
120,83.0,0.0,24.0,171.0,1.64,1.0
121,18.0,1.0,28.0,107.0,2.54,0.0
122,35.0,1.0,13.0,274.0,0.59,1.0
123,17.0,1.0,13.0,280.0,0.4,0.0
124,35.0,1.0,19.0,21.0,1.45,1.0
125,13.0,1.0,19.0,469.0,2.55,0.0
126,10.0,1.0,30.0,113.0,0.55,1.0
127,9.0,1.0,13.0,134.0,0.05,0.0
128,8.0,1.0,13.0,145.0,2.92,0.0
129,12.0,1.0,19.0,140.0,0.54,0.0
130,2.0,1.0,19.0,282.0,2.06,1.0
131,3.0,2.0,3.0,402.0,2.87,0.0
132,35.0,1.0,13.0,21.0,0.43,1.0
133,8.0,1.0,6.0,145.0,1.32,0.0
134,12.0,1.0,18.0,178.0,2.55,0.0
135,197.0,1.0,16.0,282.0,0.1,1.0
136,20.0,1.0,23.0,478.0,1.7,0.0
137,45.0,1.0,7.0,419.0,2.87,1.0
138,2.0,1.0,13.0,205.0,1.0,0.0
139,19.0,18.0,0.0,213.0,0.43,1.0
140,3.0,1.0,8.0,402.0,2.95,0.0
141,19.0,97.0,24.0,213.0,1.91,1.0
142,35.0,1.0,19.0,21.0,2.34,1.0
143,35.0,1.0,19.0,274.0,0.88,1.0
144,12.0,1.0,16.0,328.0,0.69,0.0
145,2.0,1.0,19.0,236.0,0.43,0.0
146,5.0,1.0,30.0,113.0,1.7,1.0
147,19.0,408.0,59.0,210.0,2.27,1.0
148,29.0,1.0,22.0,101.0,2.91,1.0
149,9.0,1.0,17.0,244.0,2.08,1.0
150,18.0,1.0,18.0,107.0,0.59,0.0
151,3.0,1.0,8.0,280.0,0.46,0.0
152,130.0,40.0,24.0,213.0,2.83,1.0
153,3.0,1.0,19.0,280.0,2.64,0.0
154,2.0,1.0,13.0,452.0,2.75,1.0
155,19.0,0.0,24.0,347.0,2.69,1.0
156,7.0,1.0,19.0,101.0,0.77,0.0
157,8.0,1.0,22.0,145.0,2.51,1.0
158,3.0,1.0,19.0,466.0,2.93,0.0
159,25.0,1.0,19.0,259.0,1.54,0.0
160,2.0,1.0,18.0,219.0,1.54,0.0
161,2.0,1.0,13.0,237.0,0.56,0.0
162,19.0,0.0,21.0,213.0,1.73,1.0
163,1.0,1.0,13.0,134.0,0.71,0.0
164,19.0,0.0,29.0,347.0,2.25,1.0
165,13.0,1.0,18.0,400.0,0.75,0.0
166,29.0,1.0,13.0,213.0,0.76,1.0
167,12.0,1.0,10.0,265.0,0.81,0.0
168,35.0,1.0,9.0,21.0,0.03,1.0
169,15.0,1.0,39.0,245.0,2.03,0.0
170,35.0,1.0,10.0,21.0,1.46,1.0
171,9.0,1.0,19.0,445.0,2.52,0.0
172,19.0,0.0,24.0,213.0,1.64,1.0
173,12.0,1.0,19.0,105.0,2.38,0.0
174,19.0,1931.0,24.0,213.0,2.8,1.0
175,9.0,1.0,12.0,466.0,2.87,0.0
176,5.0,1.0,27.0,113.0,0.76,1.0
177,8.0,1.0,1.0,145.0,2.46,0.0
178,19.0,0.0,29.0,333.0,0.91,1.0
179,18.0,1.0,9.0,107.0,0.45,0.0
180,3.0,1.0,19.0,480.0,0.64,0.0
181,2.0,1.0,25.0,317.0,1.79,0.0
182,19.0,381.0,21.0,282.0,1.84,1.0
183,56.0,1.0,13.0,406.0,1.45,0.0
184,1.0,1.0,13.0,439.0,0.07,0.0
185,2.0,1.0,17.0,477.0,0.74,0.0
186,15.0,1.0,16.0,379.0,1.49,0.0
187,3.0,1.0,13.0,489.0,0.79,0.0
188,6.0,1.0,20.0,459.0,1.87,0.0
189,12.0,1.0,13.0,265.0,1.31,0.0
190,19.0,0.0,0.0,213.0,1.93,1.0
191,12.0,1.0,13.0,178.0,0.57,0.0
192,19.0,37.0,24.0,213.0,1.38,1.0
193,21.0,2.0,58.0,232.0,2.95,0.0
194,26.0,1.0,19.0,262.0,0.36,0.0
195,19.0,6.0,29.0,213.0,0.48,1.0
196,29.0,1.0,20.0,101.0,2.68,1.0
197,5.0,1.0,4.0,113.0,1.8,1.0
198,29.0,1.0,19.0,213.0,1.06,1.0
199,5.0,1.0,61.0,113.0,2.01,1.0
200,18.0,1.0,13.0,121.0,2.29,0.0
201,18.0,1.0,19.0,439.0,1.01,0.0
202,26.0,1.0,13.0,266.0,1.82,0.0
203,3.0,1.0,19.0,115.0,1.41,0.0
204,18.0,1.0,25.0,107.0,0.99,0.0
205,14.0,1.0,15.0,160.0,1.46,0.0
206,45.0,1.0,47.0,465.0,0.61,1.0
207,3.0,1.0,47.0,489.0,1.3,0.0
208,19.0,1481.0,38.0,213.0,1.59,1.0
209,14.0,1.0,17.0,463.0,2.97,0.0
210,15.0,1.0,25.0,265.0,2.4,0.0
211,12.0,1.0,13.0,178.0,1.7,0.0
212,64.0,1.0,41.0,459.0,1.46,0.0
213,19.0,194.0,50.0,213.0,2.88,1.0
214,35.0,1.0,19.0,274.0,0.47,1.0
215,19.0,0.0,0.0,213.0,2.66,1.0
216,23.0,1.0,19.0,153.0,0.92,0.0
217,14.0,1.0,13.0,463.0,1.51,0.0
218,3.0,1.0,36.0,213.0,2.6,1.0
219,19.0,0.0,21.0,213.0,2.6,1.0
220,10.0,1.0,4.0,113.0,0.79,1.0
221,5.0,1.0,19.0,377.0,1.56,1.0
222,35.0,1.0,22.0,21.0,1.49,1.0
223,82.0,1.0,57.0,224.0,2.76,0.0
224,35.0,1.0,13.0,21.0,0.33,1.0
225,36.0,1.0,13.0,110.0,0.84,0.0
226,29.0,1.0,10.0,101.0,0.81,1.0
227,35.0,1.0,19.0,21.0,0.48,1.0
228,2.0,1.0,10.0,236.0,1.58,0.0
229,25.0,1.0,13.0,259.0,2.71,0.0
230,15.0,1.0,22.0,315.0,0.39,0.0
231,12.0,1.0,13.0,481.0,1.83,0.0
232,19.0,0.0,24.0,213.0,2.95,1.0
233,1.0,1.0,41.0,153.0,1.48,0.0
234,19.0,0.0,21.0,213.0,0.51,1.0
235,19.0,0.0,29.0,347.0,2.56,1.0
236,19.0,0.0,29.0,213.0,1.1,1.0
237,18.0,1.0,13.0,107.0,1.68,0.0
238,18.0,1.0,19.0,107.0,2.75,0.0
239,9.0,1.0,64.0,244.0,2.77,0.0
240,107.0,1.0,22.0,171.0,1.45,1.0
241,3.0,1.0,18.0,280.0,1.42,0.0
242,29.0,1.0,13.0,343.0,2.98,1.0
243,3.0,1.0,19.0,317.0,1.68,0.0
244,8.0,1.0,18.0,145.0,2.58,0.0
245,3.0,1.0,22.0,280.0,2.03,0.0
246,19.0,0.0,0.0,213.0,0.56,1.0
247,12.0,1.0,19.0,265.0,2.94,0.0
248,9.0,1.0,47.0,107.0,1.92,0.0
249,19.0,0.0,29.0,343.0,2.83,1.0
250,9.0,1.0,13.0,232.0,0.16,0.0
251,19.0,0.0,0.0,213.0,1.86,1.0
252,3.0,1.0,25.0,489.0,2.62,0.0
253,3.0,1.0,19.0,130.0,2.74,0.0
254,3.0,1.0,8.0,417.0,0.61,0.0
255,2.0,1.0,15.0,122.0,1.4,0.0
256,2.0,1.0,19.0,435.0,1.67,0.0
257,84.0,374.0,29.0,101.0,1.47,1.0
258,6.0,2.0,1.0,125.0,1.8,0.0
259,66.0,1.0,22.0,101.0,0.99,1.0
260,5.0,1.0,43.0,113.0,2.47,1.0
261,3.0,1.0,30.0,280.0,2.4,0.0
262,66.0,1.0,19.0,101.0,0.52,1.0
263,5.0,1.0,40.0,113.0,2.59,1.0
264,8.0,1.0,13.0,145.0,0.37,1.0
265,20.0,1.0,19.0,259.0,0.47,1.0
266,43.0,1.0,13.0,330.0,1.52,1.0
267,19.0,0.0,24.0,347.0,2.65,1.0
268,3.0,1.0,13.0,480.0,2.5,0.0
269,45.0,1.0,4.0,419.0,2.78,1.0
270,35.0,1.0,19.0,21.0,2.57,1.0
271,21.0,1.0,15.0,128.0,0.32,0.0
272,3.0,1.0,19.0,115.0,1.37,0.0
273,24.0,1.0,13.0,178.0,1.08,1.0
274,3.0,1.0,10.0,280.0,2.55,0.0
275,19.0,88.0,24.0,333.0,1.36,1.0
276,2.0,1.0,19.0,219.0,0.81,0.0
277,12.0,1.0,18.0,205.0,1.88,0.0
278,12.0,1.0,47.0,259.0,2.84,0.0
279,12.0,1.0,13.0,19.0,0.23,0.0
280,5.0,1.0,27.0,113.0,2.77,1.0
281,19.0,40.0,24.0,213.0,1.39,1.0
282,9.0,1.0,8.0,232.0,0.05,0.0
283,19.0,0.0,38.0,213.0,2.78,1.0
284,19.0,0.0,24.0,213.0,2.76,1.0
285,62.0,1.0,13.0,21.0,1.36,1.0
286,12.0,2.0,6.0,265.0,0.94,0.0
287,9.0,1.0,19.0,466.0,2.72,0.0
288,3.0,1.0,6.0,19.0,0.33,0.0
289,35.0,1.0,18.0,21.0,1.43,1.0
290,72.0,1.0,17.0,101.0,2.84,1.0
291,2.0,1.0,6.0,401.0,2.84,0.0
292,19.0,109.0,29.0,213.0,1.8,1.0
293,12.0,1.0,19.0,277.0,1.41,1.0
294,13.0,1.0,19.0,400.0,1.74,0.0
295,2.0,1.0,8.0,477.0,1.63,0.0
296,115.0,1.0,19.0,243.0,1.06,1.0
297,3.0,1.0,6.0,130.0,2.63,0.0
298,19.0,0.0,50.0,347.0,2.54,1.0
299,19.0,0.0,24.0,347.0,0.3,1.0
300,14.0,1.0,3.0,123.0,1.61,1.0
301,2.0,1.0,16.0,237.0,1.55,0.0
302,18.0,1.0,19.0,107.0,0.85,0.0
303,2.0,1.0,16.0,212.0,1.63,0.0
304,3.0,1.0,3.0,280.0,2.5,0.0
305,5.0,1.0,43.0,113.0,0.79,1.0
306,3.0,1.0,22.0,137.0,2.4,0.0
307,3.0,1.0,10.0,173.0,2.47,0.0
308,35.0,1.0,19.0,21.0,1.37,1.0
309,84.0,0.0,0.0,101.0,1.61,1.0
310,15.0,1.0,46.0,315.0,1.76,0.0
311,29.0,1.0,13.0,343.0,1.92,1.0
312,12.0,1.0,13.0,328.0,1.84,0.0
313,37.0,1.0,13.0,213.0,0.74,1.0
314,96.0,129.0,24.0,282.0,1.77,1.0
315,23.0,1.0,27.0,153.0,2.32,0.0
316,12.0,1.0,19.0,178.0,1.44,0.0
317,12.0,1.0,19.0,328.0,3.01,0.0
318,2.0,2.0,17.0,205.0,2.0,0.0
319,8.0,1.0,19.0,145.0,2.05,0.0
320,18.0,1.0,17.0,134.0,2.96,0.0
321,3.0,1.0,18.0,417.0,2.9,0.0
322,72.0,2.0,18.0,101.0,1.4,1.0
323,5.0,1.0,43.0,113.0,0.97,1.0
324,29.0,2.0,13.0,343.0,0.68,1.0
325,2.0,1.0,17.0,435.0,0.94,0.0
326,9.0,2.0,37.0,215.0,1.12,0.0
327,45.0,1.0,26.0,5.0,2.63,1.0
328,35.0,1.0,19.0,274.0,1.91,1.0
329,35.0,1.0,10.0,21.0,2.39,1.0
330,12.0,1.0,25.0,245.0,0.53,0.0
331,3.0,1.0,19.0,489.0,0.82,0.0
332,23.0,1.0,8.0,153.0,0.44,0.0
333,18.0,1.0,13.0,107.0,1.75,1.0
334,29.0,1.0,19.0,213.0,2.78,1.0
335,3.0,1.0,14.0,466.0,0.61,0.0
336,10.0,1.0,1.0,113.0,1.8,1.0
337,19.0,0.0,21.0,213.0,2.89,1.0
338,26.0,1.0,19.0,477.0,2.96,0.0
339,3.0,1.0,19.0,280.0,1.67,0.0
340,3.0,1.0,19.0,280.0,1.78,0.0
341,23.0,1.0,19.0,153.0,2.66,0.0
342,45.0,1.0,1.0,5.0,1.83,1.0
343,12.0,1.0,20.0,259.0,2.39,0.0
344,29.0,1.0,17.0,213.0,1.87,1.0
345,155.0,1.0,8.0,213.0,2.91,1.0
346,19.0,299.0,0.0,333.0,1.47,1.0
347,3.0,1.0,13.0,280.0,1.41,0.0
348,18.0,1.0,20.0,439.0,2.76,0.0
349,19.0,0.0,24.0,347.0,1.76,1.0
350,3.0,1.0,10.0,205.0,1.35,0.0
351,18.0,2.0,97.0,121.0,1.01,0.0
352,19.0,106.0,21.0,213.0,0.27,1.0
353,14.0,1.0,117.0,480.0,2.4,0.0
354,45.0,1.0,37.0,465.0,1.63,1.0
355,27.0,1.0,17.0,122.0,0.15,0.0
356,21.0,1.0,18.0,128.0,2.47,0.0
357,19.0,7.0,21.0,213.0,0.67,1.0
358,18.0,1.0,20.0,107.0,1.4,0.0
359,145.0,184.0,21.0,320.0,0.31,1.0
360,5.0,1.0,47.0,113.0,1.79,1.0
361,3.0,1.0,8.0,211.0,3.0,0.0
362,15.0,1.0,20.0,245.0,0.68,0.0
363,13.0,1.0,13.0,477.0,1.38,0.0
364,12.0,1.0,13.0,328.0,2.59,0.0
365,11.0,1.0,22.0,481.0,2.97,0.0
366,19.0,97.0,24.0,213.0,2.02,1.0
367,8.0,1.0,13.0,145.0,2.6,1.0
368,15.0,1.0,13.0,265.0,2.67,0.0
369,21.0,1.0,32.0,128.0,2.84,0.0
370,11.0,1.0,13.0,487.0,2.58,1.0
371,12.0,1.0,13.0,140.0,2.34,0.0
372,12.0,1.0,19.0,328.0,2.44,1.0
373,19.0,0.0,0.0,333.0,1.59,1.0
374,9.0,1.0,13.0,442.0,2.72,1.0
375,2.0,1.0,3.0,469.0,0.56,0.0
376,64.0,1.0,18.0,459.0,1.51,0.0
377,14.0,1.0,13.0,463.0,0.45,0.0
378,9.0,1.0,19.0,234.0,2.96,0.0
379,3.0,1.0,16.0,280.0,2.62,0.0
380,19.0,0.0,24.0,347.0,1.51,1.0
381,18.0,1.0,17.0,134.0,2.35,0.0
382,8.0,1.0,13.0,145.0,2.77,1.0
383,45.0,1.0,15.0,213.0,1.91,1.0
384,51.0,0.0,24.0,203.0,2.56,1.0
385,5.0,1.0,7.0,113.0,2.92,1.0
386,10.0,1.0,11.0,113.0,0.43,1.0
387,17.0,1.0,8.0,118.0,2.75,1.0
388,2.0,1.0,16.0,122.0,0.45,1.0
389,29.0,1.0,18.0,333.0,1.03,1.0
390,9.0,1.0,19.0,134.0,0.38,0.0
391,1.0,2.0,9.0,125.0,0.8,0.0
392,2.0,1.0,6.0,477.0,1.43,0.0
393,18.0,1.0,19.0,107.0,1.97,0.0
394,2.0,1.0,1.0,477.0,1.6,0.0
395,15.0,1.0,19.0,245.0,1.94,0.0
396,19.0,97.0,24.0,213.0,2.8,1.0
397,35.0,1.0,19.0,21.0,0.4,1.0
398,2.0,2.0,19.0,205.0,1.52,0.0
399,35.0,1.0,10.0,274.0,0.29,1.0
400,19.0,0.0,24.0,213.0,1.84,1.0
401,18.0,1.0,8.0,134.0,2.09,0.0
402,29.0,1.0,16.0,343.0,1.28,1.0
403,18.0,1.0,19.0,121.0,0.98,0.0
404,9.0,1.0,19.0,134.0,0.02,0.0
405,9.0,1.0,37.0,334.0,2.64,0.0
406,15.0,1.0,18.0,386.0,1.63,0.0
407,17.0,1.0,19.0,134.0,1.55,0.0
408,12.0,2.0,10.0,178.0,0.33,0.0
409,9.0,1.0,9.0,442.0,2.75,0.0
410,19.0,0.0,21.0,213.0,2.01,1.0
411,20.0,1.0,19.0,478.0,2.72,1.0
412,19.0,0.0,24.0,213.0,1.52,1.0
413,66.0,1.0,20.0,101.0,2.89,1.0
414,3.0,1.0,15.0,417.0,0.36,0.0
415,29.0,1.0,19.0,101.0,1.5,1.0
416,29.0,1.0,19.0,213.0,2.91,1.0
417,9.0,1.0,19.0,215.0,0.3,0.0
418,17.0,1.0,13.0,280.0,0.48,0.0
419,9.0,1.0,17.0,442.0,2.39,0.0
420,9.0,1.0,19.0,442.0,2.81,0.0
421,9.0,1.0,18.0,334.0,0.38,0.0
422,12.0,1.0,19.0,205.0,2.95,0.0
423,15.0,1.0,19.0,386.0,0.7,0.0
424,19.0,20.0,38.0,213.0,0.56,1.0
425,3.0,1.0,13.0,280.0,0.39,0.0
426,11.0,1.0,13.0,219.0,2.98,0.0
427,13.0,1.0,3.0,400.0,0.95,0.0
428,35.0,1.0,19.0,21.0,2.51,1.0
429,5.0,1.0,30.0,113.0,0.91,1.0
430,12.0,1.0,19.0,205.0,2.86,0.0
431,19.0,0.0,0.0,213.0,2.95,1.0
432,35.0,1.0,13.0,21.0,1.4,1.0
433,3.0,1.0,10.0,280.0,2.44,0.0
434,96.0,0.0,21.0,213.0,0.86,1.0
435,18.0,1.0,13.0,107.0,2.95,0.0
436,28.0,1.0,14.0,135.0,2.39,0.0
437,12.0,1.0,18.0,124.0,1.99,0.0
438,19.0,0.0,29.0,213.0,1.03,1.0
439,19.0,16.0,0.0,213.0,1.75,1.0
440,14.0,1.0,15.0,442.0,0.4,0.0
441,35.0,1.0,48.0,274.0,0.33,1.0
442,10.0,1.0,22.0,317.0,2.65,1.0
443,5.0,1.0,27.0,113.0,0.55,1.0
444,64.0,1.0,30.0,459.0,1.59,0.0
445,12.0,1.0,16.0,245.0,1.51,0.0
446,19.0,0.0,38.0,347.0,1.53,1.0
447,14.0,1.0,13.0,401.0,0.93,0.0
448,15.0,1.0,19.0,386.0,2.06,0.0
449,72.0,1.0,37.0,101.0,1.93,1.0
450,2.0,1.0,6.0,219.0,0.14,1.0
451,10.0,1.0,14.0,377.0,2.8,1.0
452,202.0,1.0,19.0,421.0,0.59,1.0
453,3.0,1.0,22.0,280.0,0.44,1.0
454,12.0,1.0,19.0,178.0,2.43,0.0
455,14.0,1.0,6.0,123.0,1.45,1.0
456,12.0,1.0,19.0,340.0,3.01,0.0
457,29.0,1.0,19.0,343.0,1.53,1.0
458,12.0,1.0,13.0,259.0,1.42,0.0
459,14.0,1.0,13.0,489.0,0.8,0.0
460,9.0,1.0,13.0,442.0,0.14,0.0
461,2.0,1.0,18.0,122.0,2.94,0.0
462,2.0,1.0,6.0,435.0,1.47,0.0
463,35.0,1.0,49.0,21.0,0.44,1.0
464,32.0,1.0,19.0,376.0,1.54,0.0
465,3.0,1.0,37.0,130.0,1.71,1.0
466,2.0,1.0,14.0,435.0,0.11,1.0
467,10.0,1.0,43.0,113.0,1.76,1.0
468,27.0,1.0,13.0,153.0,2.4,0.0
469,107.0,1.0,13.0,213.0,2.31,1.0
470,18.0,1.0,10.0,107.0,1.8,0.0
471,14.0,1.0,18.0,463.0,2.32,0.0
472,19.0,0.0,24.0,101.0,0.82,1.0
473,0.0,623.0,76.0,101.0,2.94,1.0
474,29.0,1.0,13.0,213.0,1.86,1.0
475,19.0,0.0,0.0,213.0,1.52,1.0
476,13.0,1.0,13.0,477.0,2.74,0.0
477,3.0,1.0,47.0,137.0,2.34,0.0
478,19.0,0.0,24.0,333.0,1.85,1.0
479,3.0,1.0,19.0,280.0,2.36,0.0
480,35.0,1.0,13.0,274.0,0.05,1.0
481,29.0,1.0,19.0,213.0,0.84,1.0
482,3.0,1.0,13.0,280.0,2.51,0.0
483,10.0,1.0,61.0,113.0,2.49,1.0
484,12.0,1.0,19.0,205.0,2.45,0.0
485,13.0,1.0,1.0,477.0,2.98,0.0
486,12.0,1.0,10.0,178.0,0.04,0.0
487,3.0,1.0,13.0,280.0,1.58,0.0
488,45.0,1.0,9.0,419.0,2.72,1.0
489,29.0,1.0,13.0,213.0,2.73,0.0
490,3.0,1.0,13.0,417.0,0.84,0.0
491,35.0,1.0,19.0,274.0,0.79,1.0
492,2.0,1.0,19.0,219.0,0.76,0.0
493,14.0,1.0,13.0,439.0,2.54,0.0
494,19.0,395.0,21.0,213.0,2.72,1.0
495,7.0,1.0,13.0,101.0,2.52,0.0
496,3.0,1.0,19.0,137.0,2.96,0.0
497,9.0,1.0,19.0,334.0,1.63,0.0
498,12.0,1.0,17.0,178.0,1.3,0.0
499,19.0,50.0,0.0,101.0,0.83,1.0
500,11.0,1.0,13.0,481.0,0.52,0.0
501,29.0,1.0,19.0,101.0,2.87,1.0
502,7.0,1.0,13.0,101.0,3.01,0.0
503,23.0,1.0,13.0,153.0,0.51,0.0
504,29.0,1.0,27.0,213.0,0.6,1.0
505,26.0,1.0,53.0,121.0,1.99,0.0
506,19.0,0.0,38.0,213.0,1.93,1.0
507,10.0,1.0,27.0,113.0,1.88,1.0
508,10.0,1.0,61.0,113.0,1.42,1.0
509,14.0,1.0,19.0,379.0,1.33,0.0
510,39.0,1.0,3.0,213.0,0.47,1.0
511,151.0,0.0,0.0,347.0,1.97,0.0
512,9.0,1.0,6.0,466.0,0.82,0.0
513,3.0,1.0,19.0,480.0,0.63,0.0
514,19.0,0.0,0.0,343.0,2.81,1.0
515,9.0,1.0,19.0,489.0,1.66,0.0
516,19.0,399.0,29.0,282.0,0.95,1.0
517,18.0,3032.0,607.0,107.0,0.05,0.0
518,12.0,1.0,19.0,409.0,0.45,0.0
519,9.0,1.0,30.0,466.0,1.78,0.0
520,9.0,1.0,23.0,334.0,1.82,0.0
521,15.0,1.0,19.0,153.0,0.8,0.0
522,79.0,1.0,10.0,213.0,1.13,1.0
523,9.0,1.0,22.0,215.0,1.56,0.0
524,29.0,1.0,13.0,213.0,1.7,1.0
525,8.0,1.0,13.0,145.0,2.51,0.0
526,3.0,1.0,13.0,137.0,2.11,0.0
527,15.0,1.0,10.0,386.0,0.48,0.0
528,12.0,1.0,13.0,219.0,1.93,0.0
529,12.0,1.0,2.0,481.0,2.4,0.0
530,19.0,0.0,0.0,347.0,0.86,1.0
531,19.0,21.0,24.0,213.0,0.94,1.0
532,35.0,1.0,13.0,274.0,0.02,1.0
533,1.0,1.0,10.0,153.0,0.77,0.0
534,45.0,1.0,36.0,465.0,0.77,1.0
535,15.0,1.0,8.0,140.0,2.16,0.0
536,18.0,1.0,19.0,134.0,2.68,1.0
